x1,y1,x2,y2,visible
151.6,433.73,114.88,254.95,1
151.6,504.77,151.6,433.73,1
139.62,516.74,151.6,504.77,1
158.78,514.34,139.62,516.74,1
174.74,393.03,158.78,514.34,1
190.7,430.54,114.88,254.95,1
201.08,524.72,190.7,430.54,1
193.25,537.34,201.38,524.34,1
211.1,535.09,193.1,537.34,1
215.45,393.03,210.66,535.09,1
151.6,171.95,114.88,254.95,1
210.66,168.36,117.28,174.34,1
173.94,136.03,210.66,168.36,1
112.49,162.82,174.74,136.03,1
117.28,174.34,112.49,162.37,1
194.37,107.83,178.41,140.15,1
235.73,96.42,194.23,108.39,1
227.35,32.57,235.33,96.42,1
266.64,98.57,227.35,32.57,1
220,110.45,267.09,98.48,1
217.45,128,220.12,110,1
222.73,125.8,182.77,143.8,1
240.19,143.22,221.69,125.84,1
192.3,152.52,240.35,143.22,1
199.61,251.06,214.3,148.25,1
267.99,401.41,208.66,391.83,1
209.06,391.83,197.09,362.93,1
339.83,380.66,267.99,401.41,1
363.33,306.3,340.98,380.66,1
316.68,274.51,363.77,306.83,1
198.42,284.08,316.68,274.51,1
378.14,380.66,339.83,380.66,1
352.15,345.19,378.14,380.66,1
362.05,359.15,362.8,306.83,1
348.3,515.54,348.3,380.66,1
357.3,515.54,348.3,515.54,1
378.14,380.66,357.3,515.54,1
307.8,459.95,306.3,390.23,1
314.8,459.95,307.8,459.95,1
323.8,384.95,314.8,459.95,1
197.09,362.93,199.61,251.06,1
178.41,140.15,219.91,110.45,1
250.54,116.59,218.79,117.09,1
266.21,98.57,249.88,116.59,1
305.71,269.96,199.16,279.3,1
307.38,274.63,304.71,269.96,1
129.58,288.04,199.61,251.06,1
178.41,401.41,195.89,362.93,1
213.05,453.69,190.7,430.54,1
166.76,453.69,151.6,433.73,1
158.78,514.34,151.6,504.77,1
210.66,535.09,201.08,523.4,1
245.88,103.66,227.35,32.57,1
366.54,456.51,348.3,380.66,1
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
